training_losses,validation_losses,Training Accuracy,Validation Accuracy
0.6354897172330952,0.6756977507046291,0.664505632232419,0.6727475643157959
0.49598408838827834,0.29933811468737465,0.7759596272338208,0.9056615267481123
0.2988332444600922,0.3295077336685998,0.9061304905431734,0.9056615267481123
0.28925965190362585,0.3456748306751251,0.9095027927014467,0.9056615267481123
0.2856722872891872,0.32273985573223657,0.9112451488165547,0.9056615267481123
0.2834039935105139,0.305093771645001,0.9116947891043244,0.9070008124623979
0.2798385795929449,0.31207761807101114,0.9136619653633172,0.9074472410338266
0.276599635215972,0.3120187248502459,0.9154238452156671,0.9083400981766837
0.2713815957951031,0.32001609248774393,0.9177282516904872,0.9081168838909695
0.2691228034899389,0.30258177050522395,0.9192457876617103,0.9074472410338266
0.2677026098366264,0.3151295453310013,0.9200326581653073,0.9081168838909695
0.26569107383918417,0.3050695994070598,0.9204260934171059,0.9105722410338265
0.26362322506715924,0.3029389998742512,0.9213253739926455,0.9090097410338266
0.26086818432207587,0.2934054332120078,0.9225618847840124,0.9083400981766837
0.25901489109872916,0.29388781913689205,0.9230115250717822,0.9105722410338265
0.2540253082410895,0.29882632451398033,0.9252035214746599,0.910125812462398
0.255379177147536,0.3024959010737283,0.9251106351399593,0.9081168838909695
0.2539686921367542,0.29910396592957633,0.9253159315466023,0.910125812462398
0.25218011567489707,0.31202618053981235,0.9258413006075852,0.910125812462398
0.24976070729091013,0.30468225138528005,0.9271340164349233,0.9087865267481122
